Company information:;Unnamed: 1;C2;C3
Name:;Capital Survey;;convert_cs_to_csv
Address:;Mussafah 39;;
Zip code:;28318;;
City:;Mussafah City, Abu Dhabi, U.A.E.;;
E-Mail:;jobi@capital-surveys.com;;
Phone number:;+971255162255;;
Name:;PRE-HUD-I18B;;
Date:;6/24/2022 2:56:00 PM;;
Name:;PRE-HUD-I18B;;
Location:;PRE-HUD-I18B;;
Date:;6/24/2022 2:56:00 PM;;
Pre-Drill:;0;;
Assumed GWL:;0;;
groundlvl;3.45;;
Northing;2702205.499;;
Easting;234809.901;;
Probe code:;Mks904;;
Factors:;181240;;
Zeros:;4011;;
aratio;0.58;;
;;;
;;;
Depth (m);qc (MPa);fs (MPa);u (MPa)
0.01;0.22;0.0;0.00019
0.02;0.2;0.0;0.00019
0.03;0.23;0.0;0.00028000000000000003
0.04;0.22;0.0;0.00028000000000000003
0.05;0.2;0.0;8.999999999999999e-05
0.06;0.21;0.0;0.00019
0.07;0.29;0.0;0.00065
0.08;0.45;0.0;0.00102
0.09;0.55;2.9999999999999997e-05;0.0011200000000000001
0.1;0.8;0.0;0.00149
0.11;1.37;2.9999999999999997e-05;0.00214
0.12;1.8;7.000000000000001e-05;0.00242
0.13;2.52;7.000000000000001e-05;0.0028799999999999997
0.14;3.49;0.0001;0.00335
0.15;4.87;0.00013000000000000002;0.00381
0.16;5.32;0.00013000000000000002;0.0039
0.17;5.8;0.0001;0.00409
0.18;6.29;0.00013000000000000002;0.00418
0.19;7.48;0.00017;0.00455
0.2;8.76;0.00017;0.00483
0.21;9.23;0.00017;0.0049299999999999995
0.22;9.64;0.0047;0.005019999999999999
0.23;10.02;0.010289999999999999;0.00511
0.24;10.51;0.015619999999999998;0.0052
0.25;11.13;0.02111;0.00539
0.26;11.44;0.024579999999999998;0.00539
0.27;11.87;0.03074;0.00558
0.28;12.84;0.037200000000000004;0.0057599999999999995
0.29;13.41;0.040229999999999995;0.00595
0.3;15.32;0.04519;0.00632
0.31;16.86;0.04416;0.0065
0.32;17.5;0.05458;0.0067800000000000004
0.33;18.64;0.07842;0.0070599999999999994
0.34;19.63;0.08102;0.0071600000000000006
0.35;20.76;0.09611;0.00743
0.36;21.22;0.10640000000000001;0.00753
0.37;21.35;0.11269;0.00753
0.38;21.52;0.10862999999999999;0.00762
0.39;21.75;0.11012999999999999;0.00771
0.4;22.32;0.11659;0.0079
0.41;22.5;0.11722;0.0079
0.42;23.32;0.11589;0.00818
0.43;23.68;0.11635;0.00827
0.44;23.82;0.12401000000000001;0.00836
0.45;23.73;0.12813999999999998;0.00836
0.46;23.54;0.13787;0.00846
0.47;23.3;0.13837;0.00846
0.48;23.48;0.13847;0.00864
0.49;23.62;0.135;0.00874
0.5;23.01;0.13021000000000002;0.00864
0.51;22.87;0.13537000000000002;0.00874
0.52;23.37;0.1408;0.00901
0.53;24.37;0.14386000000000002;0.0092
0.54;25.69;0.1384;0.00957
0.55;26.73;0.13157;0.00985
0.56;26.84;0.13827;0.010039999999999999
0.57;27.27;0.14026;0.01013
0.58;27.47;0.1407;0.010320000000000001
0.59;27.56;0.14896;0.0105
0.6;27.38;0.14579;0.01059
0.61;26.58;0.14549;0.01059
0.62;26.39;0.15591999999999998;0.01078
0.63;26.31;0.15402000000000002;0.01097
0.64;26.72;0.14862;0.01124
0.65;26.71;0.14646;0.01134
0.66;26.85;0.14849;0.01143
0.67;26.79;0.15234999999999999;0.011619999999999998
0.68;27.22;0.14962;0.011890000000000001
0.69;27.83;0.15362;0.01217
0.7;28.42;0.15641999999999998;0.01245
0.71;29.95;0.15705000000000002;0.013009999999999999
0.72;31.96;0.18416;0.013380000000000001
0.73;32.23;0.23121;0.014029999999999999
0.74;32.51;0.28256;0.0144
0.75;31.78;0.33125;0.01487
0.76;28.83;0.30794;0.01459
0.77;27.06;0.32608;0.0144
0.78;23.69;0.38793;0.0145
0.79;22.25;0.37763;0.01431
0.8;17.62;0.30244;0.0132
0.81;16.06;0.25868;0.0132
0.82;15.25;0.24012999999999998;0.013099999999999999
0.83;14.34;0.23487;0.0132
0.84;13.83;0.23138;0.01329
