Company information:;Unnamed: 1;C2;C3
Name:;Capital Survey;;convert_cs_to_csv
Address:;Mussafah 39;;
Zip code:;28318;;
City:;Mussafah City, Abu Dhabi, U.A.E.;;
E-Mail:;jobi@capital-surveys.com;;
Phone number:;+971255162255;;
Name:;PRE-HUD-I15D;;
Date:;6/23/2022 4:30:00 PM;;
Location:;PRE-HUD-I15D;;
Pre-Drill:;0;;
Assumed GWL:;0;;
groundlvl;1.86;;
Northing;2702266.593;;
Easting;234511.962;;
Probe code:;Mks904;;
Factors:;181240;;
Zeros:;4015;;
aratio;0.58;;
;;;
;;;
;;;
;;;
Depth (m);qc (MPa);fs (MPa);u (MPa)
0.01;0.23;0.0;0.00121
0.02;0.23;0.0;0.00121
0.03;0.23;0.0;0.00121
0.04;0.42;0.0;0.00269
0.05;0.55;0.0;0.00418
0.06;1.55;7.000000000000001e-05;0.00985
0.07;3.45;0.0001;0.014029999999999999
0.08;5.03;0.00013000000000000002;0.01682
0.09;6.43;0.00017;0.01924
0.1;7.14;0.00017;0.02007
0.11;9.15;0.0002;0.0224
0.12;10.9;0.0002;0.02425
0.13;14.2;0.00027;0.02686
0.14;16.13;0.00027;0.02853
0.15;18.31;0.0003;0.030019999999999998
0.16;19.75;0.0003;0.03132
0.17;21.51;0.0016699999999999998;0.03252
0.18;22.74;0.011460000000000001;0.033549999999999996
0.19;23.07;0.01858;0.0341
0.2;22.75;0.02591;0.03438
0.21;23.41;0.059340000000000004;0.03531
0.22;24.08;0.0711;0.03587
0.23;24.97;0.07669;0.0368
0.24;22.98;0.08045999999999999;0.03624
0.25;22.18;0.08835;0.03606
0.26;20.72;0.10979000000000001;0.03615
0.27;20.41;0.12240999999999999;0.03615
0.28;19.46;0.13337000000000002;0.03615
0.29;19.45;0.13657;0.03671
0.3;19.58;0.14253;0.03736
0.31;20.22;0.14406;0.03829
0.32;20.85;0.14429;0.038939999999999995
0.33;20.97;0.14712;0.039310000000000005
0.34;21.19;0.15422;0.039869999999999996
0.35;20.88;0.16531;0.040240000000000005
0.36;21.04;0.15947999999999998;0.04117
0.37;20.56;0.15394999999999998;0.041350000000000005
0.38;20.39;0.15505000000000002;0.04163
0.39;20.34;0.15215;0.04228
0.4;20.4;0.14822;0.04293
0.41;20.76;0.14583000000000002;0.04377
0.42;21.04;0.15294999999999997;0.044789999999999996
0.43;21.3;0.14909;0.04591
0.44;21.77;0.14459;0.04665
0.45;21.53;0.1377;0.04693
0.46;21.63;0.1333;0.04758
0.47;21.51;0.12531;0.04832
0.48;21.88;0.12025;0.04879
0.49;21.52;0.13274;0.048600000000000004
0.5;19.77;0.1382;0.04869
0.51;19.55;0.14026;0.049159999999999995
0.52;19.33;0.12057999999999999;0.04934
0.53;18.41;0.11366;0.04962
0.54;18.61;0.11516;0.05009
0.55;18.22;0.11469;0.05055
0.56;18.3;0.11381999999999999;0.05102
0.57;18.2;0.11173000000000001;0.05158
0.58;17.57;0.11402;0.05185
0.59;17.33;0.11862;0.05195
0.6;17.2;0.12521;0.05213
0.61;17.51;0.12321;0.05325
0.62;18.75;0.11625;0.05483
0.63;19.63;0.10596;0.054920000000000004
0.64;20.72;0.10047;0.05706
0.65;21.61;0.1037;0.0578
0.66;23.53;0.12151999999999999;0.06003
0.67;24.23;0.11689;0.061149999999999996
0.68;24.42;0.10463;0.061329999999999996
0.69;25.2;0.10909;0.06263
0.7;26.69;0.09856999999999999;0.06412000000000001
0.71;28.69;0.08811;0.06626
0.72;30.49;0.15422;0.06784
0.73;33.19;0.22984000000000002;0.06997
0.74;33.7;0.21578999999999998;0.0696
0.75;32.33;0.15728;0.06905
0.76;31.26;0.16534000000000001;0.06877
0.77;30.41;0.15978;0.06858
0.78;28.59;0.16191;0.06774
0.79;27.69;0.16194;0.06756000000000001
0.8;26.39;0.16537000000000002;0.06784
0.81;25.47;0.18509;0.06793
0.82;24.88;0.24416;0.0683
0.83;25.18;0.2712;0.07081
0.84;25.14;0.24053;0.07146
0.85;24.48;0.21896000000000002;0.07118000000000001
0.86;24.75;0.2119;0.07202
0.87;24.76;0.2053;0.0723
