Company information:;Unnamed: 1;C2;C3
Name:;Capital Survey;;convert_cs_to_csv
Address:;Mussafah 39;;
Zip code:;28318;;
City:;Mussafah City, Abu Dhabi, U.A.E.;;
E-Mail:;jobi@capital-surveys.com;;
Phone number:;+971255162255;;
Name:;PRE-CPT-J15B;;
Date:;6/23/2022 10:13:04 PM;;
Name:;PRE-CPT-J15B;;
Location:;PRE-CPT-J15B;;
Date:;6/23/2022 10:13:04 PM;;
Pre-Drill:;0;;
Assumed GWL:;0;;
groundlvl;2.01;;
Northing;2702219.929;;
Easting;234494.002;;
Probe code:;Mks904;;
Factors:;181240;;
Zeros:;4014;;
aratio;0.58;;
;;;
;;;
Depth (m);qc (MPa);fs (MPa);u (MPa)
0.01;0.3;0.0;-8.999999999999999e-05
0.02;0.58;2.9999999999999997e-05;8.999999999999999e-05
0.03;0.73;0.0;0.00046
0.04;1.29;2.9999999999999997e-05;0.0005600000000000001
0.05;3.22;0.0001;0.00158
0.06;5.3;0.00017;0.00232
0.07;6.58;0.0002;0.00279
0.08;8.7;0.0002;0.00316
0.09;10.59;0.00436;0.0035299999999999997
0.1;10.79;0.00233;0.0035299999999999997
0.11;11.45;0.01728;0.00372
0.12;11.98;0.01905;0.0039
0.13;12.57;0.02614;0.004
0.14;12.27;0.027170000000000003;0.00511
0.15;12.16;0.02461;0.0053
0.16;12.27;0.023010000000000003;0.0053
0.17;11.95;0.033170000000000005;0.00539
0.18;12;0.046619999999999995;0.00539
0.19;11.58;0.04322;0.0054800000000000005
0.2;11.32;0.04456;0.00558
0.21;11.15;0.04549;0.00558
0.22;10.39;0.05025;0.00539
0.23;9.48;0.05921;0.00539
0.24;8.62;0.0645;0.00539
0.25;7.1;0.07998999999999999;0.0054800000000000005
0.26;6.35;0.07439;0.0054800000000000005
0.27;5.46;0.07356;0.00511
0.28;5.1;0.07493000000000001;0.005019999999999999
0.29;4.82;0.08131999999999999;0.0053
0.3;4.54;0.10137;0.00558
0.31;4.68;0.10656;0.00558
0.32;5.16;0.11236;0.00595
0.33;6.38;0.09747;0.0065
0.34;10.12;0.07916;0.00743
0.35;11.22;0.08048999999999999;0.00623
0.36;13.5;0.07266;0.0065
0.37;14.55;0.0687;0.006690000000000001
0.38;16.94;0.07892;0.0071600000000000006
0.39;17.19;0.07503;0.00753
0.4;17.57;0.07386;0.00762
0.41;18.7;0.07113;0.00799
0.42;19.5;0.07156;0.00818
0.43;20.14;0.07772;0.00836
0.44;20.7;0.08076;0.00855
0.45;21.78;0.07819;0.00911
0.46;22.08;0.07615999999999999;0.00929
0.47;22.41;0.1038;0.01013
0.48;23;0.11156;0.01013
0.49;24.26;0.12744;0.01022
0.5;21.77;0.14173;0.0105
0.51;22.5;0.15095;0.01069
0.52;21.34;0.18968000000000002;0.01069
0.53;20.83;0.18356;0.01078
0.54;21.07;0.17203;0.01078
0.55;21.53;0.16204;0.01106
0.56;23.04;0.14931999999999998;0.01143
0.57;23.56;0.15215;0.01143
0.58;23.01;0.18222;0.011710000000000002
0.59;22.69;0.20141;0.011710000000000002
0.6;22.7;0.19887;0.011890000000000001
0.61;22.7;0.17926;0.011890000000000001
0.62;21.95;0.17107;0.01199
0.63;22.52;0.18985;0.01227
0.64;22.69;0.19082;0.01236
0.65;23.62;0.18112;0.01264
0.66;24.99;0.17496;0.01292
0.67;25.29;0.1709;0.013099999999999999
0.68;25.81;0.15868000000000002;0.013380000000000001
0.69;26.2;0.15578;0.013470000000000001
0.7;26.16;0.15797999999999998;0.01366
0.71;26.62;0.16707;0.01394
0.72;26.99;0.14729;0.01413
0.73;27.37;0.14962;0.01422
0.74;27.9;0.14403;0.0145
0.75;27.84;0.14003;0.01468
0.76;27.55;0.14386000000000002;0.01478
0.77;27.2;0.14409;0.014960000000000001
0.78;27.51;0.14468999999999999;0.01515
0.79;26.74;0.15249000000000001;0.01515
0.8;26.77;0.15997999999999998;0.01543
0.81;26.24;0.15491999999999997;0.015519999999999999
0.82;26.63;0.16374;0.0158
0.83;25.51;0.18249;0.01589
0.84;25.56;0.19654;0.01589
