Company information:;Unnamed: 1;C2;C3
Name:;Capital Survey;;convert_cs_to_csv
Address:;Mussafah 39;;
Zip code:;28318;;
City:;Mussafah City, Abu Dhabi, U.A.E.;;
E-Mail:;jobi@capital-surveys.com;;
Phone number:;+971255162255;;
Name:;PRE-CPT-I18C;;
Date:;6/24/2022 4:23:13 AM;;
Name:;PRE-CPT-I18C;;
Location:;PRE-CPT-I18C;;
Date:;6/24/2022 4:23:13 AM;;
Pre-Drill:;0;;
Assumed GWL:;0;;
groundlvl;2.1100000000000003;;
Northing;2702176.795;;
Easting;234745.278;;
Probe code:;Mks904;;
Factors:;181240;;
Zeros:;4011;;
aratio;0.58;;
;;;
;;;
Depth (m);qc (MPa);fs (MPa);u (MPa)
0.01;0.26;-2.9999999999999997e-05;-8.999999999999999e-05
0.02;0.49;0.0;8.999999999999999e-05
0.03;0.94;0.0;0.0005600000000000001
0.04;1.11;2.9999999999999997e-05;0.0013
0.05;2.11;7.000000000000001e-05;0.00269
0.06;3.63;0.0001;0.00483
0.07;4.79;0.00013000000000000002;0.0054800000000000005
0.08;5.94;0.00013000000000000002;0.00632
0.09;6.73;0.00017;0.0067800000000000004
0.1;9.45;0.0004;0.00864
0.11;12.82;0.00962;0.01022
0.12;12.97;0.01289;0.00939
0.13;17.14;0.01672;0.011619999999999998
0.14;18.19;0.02091;0.01199
0.15;18.99;0.03297;0.01227
0.16;21.86;0.03723;0.01385
0.17;23.12;0.04226;0.0145
0.18;26.64;0.06473999999999999;0.0158
0.19;27.3;0.06157;0.01598
0.2;28.47;0.0683;0.016079999999999997
0.21;26.97;0.07839;0.015609999999999999
0.22;26.78;0.07992;0.0158
0.23;26.53;0.08712;0.01533
0.24;25.31;0.1035;0.015609999999999999
0.25;25.02;0.10779999999999999;0.01478
0.26;23;0.12571;0.01394
0.27;21.13;0.1353;0.01413
0.28;20.94;0.15535;0.01394
0.29;20.21;0.18302000000000002;0.01431
0.3;20.56;0.19158;0.01468
0.31;20.51;0.19484;0.01515
0.32;21.4;0.2024;0.016079999999999997
0.33;21.93;0.19528;0.01654
0.34;23.8;0.18744999999999998;0.01794
0.35;26.65;0.17683000000000001;0.01961
0.36;26.35;0.173;0.0197
0.37;28.66;0.19258;0.02119
0.38;29.84;0.15965000000000001;0.02165
0.39;30.69;0.18119;0.021929999999999998
0.4;31.15;0.16613999999999998;0.0223
0.41;30.98;0.16607;0.022670000000000003
0.42;30.43;0.15045;0.023600000000000003
0.43;30.63;0.10909;0.02407
0.44;30.39;0.10715999999999999;0.02481
0.45;29.57;0.14499;0.026109999999999998
0.46;30.53;0.11985;0.026949999999999998
0.47;30.35;0.13290000000000002;0.02741
0.48;30.77;0.16047999999999998;0.027510000000000003
0.49;26.72;0.14576;0.02574
0.5;26.79;0.20454;0.02639
0.51;24.94;0.24493;0.026670000000000003
0.52;24.69;0.24889;0.02714
0.53;24.75;0.24546;0.02853
0.54;24.88;0.23697;0.02918
0.55;24.56;0.21846000000000002;0.02937
0.56;23.91;0.21425999999999998;0.02927
0.57;23.18;0.25079;0.030760000000000003
0.58;22.06;0.28858999999999996;0.03215
0.59;22.11;0.2781;0.03327
0.6;23.33;0.24326;0.03531
0.61;23.5;0.21581999999999998;0.036520000000000004
0.62;23.69;0.20717;0.03689
0.63;22.78;0.19068000000000002;0.037079999999999995
0.64;22.31;0.18722;0.03726
0.65;22.24;0.15491999999999997;0.03847
0.66;22.26;0.12387999999999999;0.03968
0.67;22.45;0.12971000000000002;0.040049999999999995
0.68;23.54;0.12521;0.04052
0.69;24.08;0.11871999999999999;0.041909999999999996
0.7;21.29;0.09947;0.04014
0.71;20.71;0.11809;0.040799999999999996
0.72;19.39;0.11689;0.03968
0.73;19.06;0.12268000000000001;0.0394
0.74;18.96;0.1002;0.040420000000000005
0.75;19.47;0.10087;0.0421
0.76;20.94;0.10573;0.04377
0.77;19.01;0.12085;0.04275
0.78;17.96;0.14752;0.04117
0.79;17.49;0.14839;0.04275
0.8;16.4;0.136;0.04238
0.81;14.89;0.12025;0.040799999999999996
0.82;12.51;0.15319;0.03736
