Company information:;Unnamed: 1;C2;C3
Name:;Capital Survey;;convert_cs_to_csv
Address:;Mussafah 39;;
Zip code:;28318;;
City:;Mussafah City, Abu Dhabi, U.A.E.;;
E-Mail:;jobi@capital-surveys.com;;
Phone number:;+971255162255;;
Name:;PRE-CPT-K12D;;
Date:;6/12/2022 12:11:40 AM;;
Location:;PRE-CPT-K12D;;
Pre-Drill:;0;;
Assumed GWL:;0;;
groundlvl;2.0599999999999996;;
Northing;2702187.697;;
Easting;234160.144;;
Probe code:;Mks904;;
Factors:;181240;;
Zeros:;4012;;
aratio;0.58;;
;;;
;;;
;;;
;;;
Depth (m);qc (MPa);fs (MPa);u (MPa)
0.01;0.27;0.0;8.999999999999999e-05
0.02;0.33;2.9999999999999997e-05;0.00019
0.03;0.38;2.9999999999999997e-05;0.00019
0.04;0.43;2.9999999999999997e-05;0.00028000000000000003
0.05;0.46;2.9999999999999997e-05;0.00037
0.06;0.52;2.9999999999999997e-05;0.00037
0.07;0.55;2.9999999999999997e-05;0.00046
0.08;0.63;2.9999999999999997e-05;0.0005600000000000001
0.09;0.73;2.9999999999999997e-05;0.00065
0.1;0.84;7.000000000000001e-05;0.0008399999999999999
0.11;1;7.000000000000001e-05;0.00093
0.12;1.1;7.000000000000001e-05;0.0011200000000000001
0.13;1.29;7.000000000000001e-05;0.00121
0.14;1.47;7.000000000000001e-05;0.00139
0.15;1.68;0.0001;0.00158
0.16;1.88;0.0001;0.00177
0.17;1.99;7.000000000000001e-05;0.00195
0.18;2.21;0.0001;0.00214
0.19;2.42;0.0001;0.0022299999999999998
0.2;2.6;0.0001;0.00242
0.21;2.75;0.0001;0.0025099999999999996
0.22;2.81;0.0001;0.0025099999999999996
0.23;2.91;0.0001;0.00269
0.24;2.97;0.0001;0.00269
0.25;3.1;0.0001;0.0028799999999999997
0.26;3.24;0.0001;0.00297
0.27;3.4;0.00037;0.00316
0.28;3.56;0.0020299999999999997;0.00344
0.29;3.65;0.00263;0.00344
0.3;3.88;0.0038;0.00362
0.31;4.15;0.00496;0.0039
0.32;4.45;0.0062900000000000005;0.00418
0.33;4.76;0.00746;0.0044599999999999996
0.34;4.92;0.00789;0.0046500000000000005
0.35;5.27;0.00889;0.00483
0.36;5.63;0.009689999999999999;0.00511
0.37;5.96;0.01036;0.00539
0.38;6.21;0.01079;0.00558
0.39;6.3;0.010960000000000001;0.00558
0.4;6.33;0.01225;0.0057599999999999995
0.41;6.42;0.01365;0.005849999999999999
0.42;6.53;0.01425;0.00595
0.43;6.68;0.01439;0.00613
0.44;6.73;0.01449;0.00623
0.45;6.95;0.01462;0.00641
0.46;7.06;0.01469;0.0065
0.47;7.24;0.01489;0.006690000000000001
0.48;7.39;0.01495;0.00688
0.49;7.48;0.01542;0.00697
0.5;7.55;0.01598;0.0071600000000000006
0.51;7.6;0.01635;0.0071600000000000006
0.52;7.75;0.01718;0.00743
0.53;7.97;0.01815;0.00762
0.54;8.25;0.019379999999999998;0.007809999999999999
0.55;8.53;0.020309999999999998;0.00818
0.56;8.66;0.020579999999999998;0.00827
0.57;8.93;0.02151;0.00846
0.58;9.22;0.022609999999999998;0.00874
0.59;9.5;0.023710000000000002;0.00901
0.6;9.81;0.02481;0.00929
0.61;9.96;0.02531;0.00939
0.62;10.25;0.02597;0.00957
0.63;10.64;0.02641;0.00994
0.64;11.07;0.02647;0.01022
0.65;11.49;0.02647;0.0105
0.66;11.67;0.02657;0.01069
0.67;11.96;0.026940000000000002;0.01087
0.68;12.13;0.027440000000000003;0.01106
0.69;12.24;0.02831;0.01124
0.7;12.25;0.02957;0.01143
0.71;12.25;0.03114;0.011619999999999998
0.72;12.3;0.03244;0.011800000000000001
0.73;12.35;0.0334;0.01199
0.74;12.39;0.03413;0.01217
0.75;12.4;0.03577;0.01236
0.76;12.31;0.03786;0.01245
0.77;12.19;0.03983;0.01264
0.78;12.02;0.04226;0.01282
0.79;11.96;0.043590000000000004;0.01292
0.8;11.87;0.046090000000000006;0.013099999999999999
0.81;11.81;0.04845;0.01329
0.82;11.81;0.04982;0.013470000000000001
